,id,created_at,full_text,display_text_range,in_reply_to_user_id,in_reply_to_screen_name,is_quote_status,retweet_count,favorite_count,possibly_sensitive
30,1449034682524389378,Fri Oct 15 15:29:24 +0000 2021,"Mit einem modernen Staat und schnelleren Genehmigungsverfahren. Mit einer Gesellschaftspolitik, die unserer modernen Lebenswelt Rechnung trägt. Und einem deutlichen Mehr an sozialer Gerechtigkeit von der Kindergrundsicherung bis zur Erhöhung des Mindestlohns auf 12 Euro uvm.","[0, 275]",2179010672.0,ABaerbock,False,8,276,
31,1449034679668158469,Fri Oct 15 15:29:24 +0000 2021,"Bei drei unterschiedlichen Parteien ist das keine Selbstverständlichkeit. Es bedeutet, Kompromisse zu schließen und gleichzeitig die großen Fragen mutig anzugehen.","[0, 163]",2179010672.0,ABaerbock,False,11,314,
32,1449034674706292737,Fri Oct 15 15:29:22 +0000 2021,"Wir haben intensiv gesprochen, Brücken gebaut, Gemeinsamkeiten gefunden. Und am Ende einen gemeinsamen Vorschlag vorgelegt für eine Reform- und Fortschrittskoalition, mit der wir das nächste Jahrzehnt für eine echte Erneuerung nutzen. Das Ergebnis: https://t.co/5OMFOUjvoI https://t.co/SYouSySYck","[0, 272]",,,False,210,2336,False
33,1448262722030915588,Wed Oct 13 12:21:55 +0000 2021,"2/2 Ihr Einsatz fand unter widrigsten Bedingungen statt, fern von ihren Familien, in einem von Kriegen schwer gezeichneten, zerrissenen Land. Ihnen gilt mein aufrichtiger Dank. Es ist nun an der Politik, diesen Einsatz konsequent aufzuarbeiten und Lehren daraus zu ziehen.","[0, 272]",2179010672.0,ABaerbock,False,35,1288,
34,1448262463225532425,Wed Oct 13 12:20:53 +0000 2021,"Ein Tag des Innehaltens: Nach 20 Jahren Afghanistan-Einsatz, der auf dramatische Weise endete, ehren wir mit dem Großen #Zapfenstreich die Arbeit der eingesetzten Soldat*innen und gedenken der Opfer. Diese Menschen haben ihr Leben in den Dienst unseres Landes gestellt. 1/2","[0, 273]",,,False,116,2352,
35,1447112035980955648,Sun Oct 10 08:09:30 +0000 2021,"Herzlichen Glückwunsch, liebe @xsarahleee und @Dzienus, zur Wahl an die Spitze der @gruene_jugend! Und besten Dank an @annarmpeters und @oekofuzzi für den tollen Job!","[0, 166]",,,False,97,3229,
36,1446445867913842689,Fri Oct 08 12:02:23 +0000 2021,Der #Friedensnobelpreis für Maria Ressa und Dmitri Muratow ist ein wichtiges Zeichen für die Pressefreiheit. Unabhängige Berichterstattung ist das Lebenselixier für freie Meinungsbildung. Weltweit gehen Journalist*innen tagtäglich hohe Risiken ein. Respekt und Dank dafür.,"[0, 272]",,,False,190,3269,
37,1442191652177678336,Sun Sep 26 18:17:39 +0000 2021,"Dieses Ziel haben wir nicht erreicht. Aber die deutlichen Zuwächse sind ein starkes Mandat, dass die Grünen Verantwortung für die Gestaltung unseres Landes übernehmen sollen. Die nächste Regierung muss eine Klimaregierung sein. Dafür werden wir uns mit aller Kraft einsetzen.","[0, 275]",2179010672.0,ABaerbock,False,232,12781,
38,1442191650617532424,Sun Sep 26 18:17:38 +0000 2021,"Danke an die vielen Wähler*innen, die heute für Grün gestimmt haben! Danke für euer Vertrauen und eure Lust auf eine andere Politik. Zum ersten Mal haben @die_gruenen um die Kanzlerinnenschaft gekämpft.","[0, 202]",,,False,953,35155,
39,1442037977274896385,Sun Sep 26 08:07:00 +0000 2021,"In einer Demokratie zu leben, bedeutet, eine Wahl zu haben. Das ist ein hohes Gut - nutzen wir es. Es geht um unser aller Zukunft. Wer eine Klimaregierung will, sollte heute Grün wählen. #btw21","[0, 193]",,,False,1902,22147,
40,1441808176706473986,Sat Sep 25 16:53:51 +0000 2021,"Der Angriff auf unseren Wahlkampfstand in Plauen ist schockierend. Umso mehr gilt: wir müssen jeden Tag für unsere liberale Demokratie einstehen. Und ich danke all jenen, die das Tag für Tag tun. https://t.co/1iAOsxmfct","[0, 195]",,,True,672,7555,False
